image_path,class_name,labels
/kaggle/input/van-gogh-paintings/Paris/Vase with Gladioli and Carnations 2.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Plaster Statuette of a Male Torso.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Vase with Zinnias.jpg,Paris,6
"/kaggle/input/van-gogh-paintings/Paris/Still Life with Two Herrings, a Cloth and a Glass.jpg",Paris,6
/kaggle/input/van-gogh-paintings/Paris/Self-Portrait 9.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Portrait of a Woman Madame Tanguy.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Vase with Peonies.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Portrait of a Man with a Moustache.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Self-Portrait 7.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Still Life with Decanter and Lemons on a Plate.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Trees in a Field on a Sunny Day.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Still Life with Bloaters.jpg,Paris,6
"/kaggle/input/van-gogh-paintings/Paris/Portrait of the Art Dealer Alexander Reid, Sitting in an Easy Chair.jpg",Paris,6
/kaggle/input/van-gogh-paintings/Paris/Vase with White and Red Carnations.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Vase with Gladioli and Carnations.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Vase with Daisies and Anemones.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Restaurant de la Sirene at Asnieres.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Plaster Statuette of a Female Torso 8.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Vase with Carnations and Other Flowers.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/View of Roofs and Backs of Houses.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Still Life with Grapes.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Still Life with Lemons on a Plate.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/View of Montmartre with Windmills.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Self-Portrait with Grey Felt Hat.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/The Seine with a Rowing Boat.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/The Fourteenth of July Celebration in Paris.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Self-Portrait 10.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Self-Portrait 8.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Portrait of a Man.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Vegetable Gardens at Montmartre.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Plaster Statuette of a Female Torso 3.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Trees and Undergrowth 2.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Self-Portrait with Dark Felt Hat at the Easel.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Vase with Carnations.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Undergrowth 2.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Self-Portrait 5.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Vase with Daisies.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/White Vase with Roses and Other Flowers.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/The Rispal Restaurant at Asnieres.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Self-Portrait with Dark Felt Hat.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Two Cut Sunflowers 3.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Tambourine with Pansies.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Undergrowth.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Trees and Undergrowth.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Street Scene in Montmartre Le Moulin a Poivre.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/View of Paris from Vincent s Room in the Rue Lepic.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Vase with Gladioli and Lilac.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Still Life with Pears.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Vegetable Garden in Montmartre.jpg,Paris,6
"/kaggle/input/van-gogh-paintings/Paris/Vase with Lilacs, Daisies and Anemones.jpg",Paris,6
/kaggle/input/van-gogh-paintings/Paris/Woman Sitting in the Grass.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Vase with Zinnias and Geraniums.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/The Green Parrot.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Vase with Cornflowers and Poppies.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Vase with Red and White Carnations on Yellow Background.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/View of the Roofs of Paris.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Still Life with Mussels and Shrimps.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Roadway with Underpass The Viaduct.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Self-Portrait with Pipe 2.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Plaster Statuette of a Kneeling Man.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Still Life with Scabiosa and Ranunculus.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Self-Portrait 3.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Self-Portrait.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/View of Paris from Vincent s Room in the Rue Lepic 2.jpg,Paris,6
"/kaggle/input/van-gogh-paintings/Paris/Vase with Flowers, Coffeepot and Fruit.jpg",Paris,6
/kaggle/input/van-gogh-paintings/Paris/The Bois de Boulogne with People Walking.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Vase with Red Gladioli 3.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Portrait of the Art Dealer Alexander Reid.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/The Bois de Boulogne with People Walking 2.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Portrait of Pere Tanguy.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Vase with Zinnias and Other Flowers.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Vase with Carnations and Zinnias.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/The Banks of the Seine.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/The Banks of the Seine with Boats.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Still Life with French Novels and a Rose.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Skull.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Self-Portrait with Straw Hat and Pipe.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Vase with Carnations 2.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Vase with Asters and Phlox.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Self-Portrait with Straw Hat 3.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Woman Sitting by a Cradle.jpg,Paris,6
"/kaggle/input/van-gogh-paintings/Paris/Still Life with Meat, Vegetables and Pottery.jpg",Paris,6
/kaggle/input/van-gogh-paintings/Paris/Vase with Gladioli.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Vase with Myosotis and Peonies.jpg,Paris,6
"/kaggle/input/van-gogh-paintings/Paris/Still Life with Plaster Statuette, a Rose and Two Novels.jpg",Paris,6
/kaggle/input/van-gogh-paintings/Paris/Plaster Statuette of a Female Torso 5.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Still Life with Red Cabbages and Onions.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Vegetable Gardens in Montmartre La Butte Montmartre.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Portrait of Pere Tanguy 3.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/The Bois de Boulogne with People Walking 3.jpg,Paris,6
"/kaggle/input/van-gogh-paintings/Paris/Twilight, before the Storm Montmartre.jpg",Paris,6
/kaggle/input/van-gogh-paintings/Paris/Vase with Red Gladioli.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/The Seine with the Pont de la Grande Jette.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Self-Portrait with Straw Hat 5.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Two Cut Sunflowers 2.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Two Cut Sunflowers.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Self-Portrait with Straw Hat 4.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Self-Portrait 4.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Plaster Statuette of a Female Torso 6.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/The Seine Bridge at Asnieres.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Skull 2.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Plaster Statuette of a Female Torso.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Plaster Statuette of a Female Torso 4.jpg,Paris,6
"/kaggle/input/van-gogh-paintings/Paris/Still Life with Apples, Meat and a Roll.jpg",Paris,6
/kaggle/input/van-gogh-paintings/Paris/Still Life with Basket of Apples.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/The Seine with the Pont de Clichy.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Self-Portrait with Grey Felt Hat 2.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Self-Portrait with Pipe.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Vase with Flowers.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Self-Portrait with Straw Hat.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Vase with Red Gladioli 2.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/The Hill of Montmartre with Quarry.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Still Life with Bloaters and Garlic.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Vase with Hollyhocks.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Still Life with Three Books.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Portrait of Pere Tanguy 2.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/The Restaurant de la Sirene at Asnieres.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/View of Paris from Montmartre.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Self-Portrait 11.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Self-Portrait 2.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Self-Portrait with Grey Felt Hat 3.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Still Life with a Basket of Crocuses.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/View of Paris from near Montmartre.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Plaster Statuette of a Female Torso 7.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/View of a River with Rowing Boats.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/The Kingfisher.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Saint Remy/The Plough and the Harrow after Millet.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Wheat Field with Cypresses.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/The Man is at Sea after Demont-Breton.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Noon Rest from Work after Millet.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Peasant Woman Cutting Straw after Millet.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/The Garden of Saint-Paul Hospital with Figure.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Olive Grove Pale Blue Sky.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/L Arlesienne Madame Ginoux 5.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Pieta after Delacroix.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/The Iris.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Pine Trees with Figure in the Garden of Saint-Paul Hospital.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Old Man in Sorrow On the Threshold of Eternity.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Evening The End of the Day after Millet.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Starry Night.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Still Life Vase with Irises.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/The Thresher after Millet.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Portrait of Madame Trabuc.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/The Garden of Saint-Paul Hospital 4.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Enclosed Field with Rising Sun.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Undergrowth with Ivy.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Two Diggers Among Trees.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Great Peacock Moth.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/The Garden of Saint-Paul Hospital 5.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Wheat Field Behind Saint-Paul Hospital with a Reaper.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Two Peasants Digging.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Wheat Field with Reaper and Sun.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Cottages Reminiscence of the North.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Trees in the Garden of Saint-Paul Hospital.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Cypresses.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Cottages and Cypresses Reminiscence of the North.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Cypresses with Two Female Figures.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/The Garden of Saint-Paul Hospital 2.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/The Mulberry Tree.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Landscape in the Neighbourhood of Saint-Remy.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Olive Trees with Yellow Sky and Sun.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Les Peiroulets Ravine 2.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Blossoming Almond Tree.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/The White Cottage Among the Olive Trees.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Enclosed Field with Ploughman.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/The Garden of Saint-Paul Hospital.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Irises.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Poppies and Butterflies.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Trees in the Garden of Saint-Paul Hospital 2.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/The Pieta after Delacroix.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Mountains at Saint-Remy with Dark Cottage.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Wheat Field Behind Saint-Paul Hospital.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Wild Roses.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Entrance to a Quarry near Saint-Remy.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Field with Poppies.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Landscape with Couple Walking and Crescent Moon.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Le Mont Gaussier with the Mas de Saint-Paul.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Olive Grove Bright Blue Sky.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Roses and Beetle.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Wheat Field with Cypresses at the Haute Galline Near Eygalieres.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Wheat Field in Rain.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/The Road Menders 2.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Still Life Vase with Irises Against a Yellow Background.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Valley with Ploughman Seen from Above.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/At the Foot of the Mountains.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Morning Peasant Couple Going to Work.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Portrait of a Patient in Saint-Paul Hospital.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Olive Picking 3.jpg,Saint Remy,7
"/kaggle/input/van-gogh-paintings/Saint Remy/Shepherdess, The after Millet.jpg",Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/The Road Menders.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Evening The Watch after Millet.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Half Figure of an Angel after Rembrandt.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Peasant Woman with a Rake after Millet.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Les Peiroulets Ravine 3.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Mountainous Landscape Behind Saint-Paul Hospital.jpg,Saint Remy,7
"/kaggle/input/van-gogh-paintings/Saint Remy/Sower, The after Millet.jpg",Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Enclosed Wheat Field with Peasant.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Field with Two Rabbits.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/The Stone Bench in the Garden of Saint-Paul Hospital.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/L Arlesienne Madame Ginoux 4.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Entrance to a Quarry.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Vincent s Bedroom in Arles.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Prisoners Exercising after Dore.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/A Corner in the Garden of Saint-Paul Hospital.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Wheat Fields with Reaper at Sunrise.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Two Peasant Women Digging in Field with Snow.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Still Life Pink Roses in a Vase.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Olive Grove Orange Sky.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Olive Grove.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Olive Trees with the Alpilles in the Background.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Olive Grove with Picking Figures.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/L Arlesienne Madame Ginoux 3.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Olive Grove 2.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Tree Trunks with Ivy.jpg,Saint Remy,7
"/kaggle/input/van-gogh-paintings/Saint Remy/Sower, The after Millet 2.jpg",Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Self-Portrait 3.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Self-Portrait.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Les Peiroulets Ravine.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Reaper with Sickle after Millet.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Lilacs.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Landscape with Olive Tree and Mountains in the Background.jpg,Saint Remy,7
"/kaggle/input/van-gogh-paintings/Saint Remy/Sheaf-Binder, The after Millet.jpg",Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/The Garden of Saint-Paul Hospital 3.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/The Good Samaritan after Delacroix.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Peasant Woman Binding Sheaves after Millet.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Olive Trees Bright Blue Sky.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Trees in the Garden of Saint-Paul Hospital 3.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/A Road at Saint-Remy with Female Figure.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/L Arlesienne Madame Ginoux.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/View of the Church of Saint-Paul-de-Mausole.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Study of Pine Trees.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Two Poplars on a Road Through the Hills.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/L Arlesienne Madame Ginoux 2.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Pine Trees against a Red Sky with Setting Sun.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/The Woodcutter after Millet.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/The Walk Falling Leaves.jpg,Saint Remy,7
"/kaggle/input/van-gogh-paintings/Saint Remy/Sheep-Shearers, The after Millet.jpg",Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Wooden Sheds.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Olive Grove 3.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Pine Trees and Dandelions in the Garden of Saint-Paul Hospital.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Cypresses and Two Women.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Peasants Lifting Potatoes.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Olive Picking.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/First Steps after Millet.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Thatched Cottages in the Sunshine Reminiscence of the North.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Still Life Vase with Roses.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Green Wheat Field 2.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Field with Ploughman and Mill.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Olive Trees against a Slope of a Hill.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Field of Spring Wheat at Sunrise.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Evening Landscape with Rising Moon.jpg,Saint Remy,7
/kaggle/input/van-gogh-paintings/Saint Remy/Olive Trees.jpg,Saint Remy,7
